Situation,Location,Date Reported,Incident/Case#,Date Occured,Time Occured,Summary,Disposition
"Fire
","Interstate 5
","3/16/2024
","2403160077
","3/16/2024
","11:31 PM
","Report of vegetation fire
","Referred to Other Agency ‐ San Diego Fire Department
"
"Disturbance ‐ Argument
","Porton
","3/7/2024
","2403070006
","3/7/2024
","12:59 AM
",,"Checks Ok
"
"Vandalism
","Pangea Parking
","3/7/2024
","2403070007
","3/7/2024
","1:19 AM
","3 subjects attempting to remove a stop sign
","Referred to Student Conduct
"
"Citizen Contact
","UCSD Police Department
","3/7/2024
","2403070008
","3/7/2024
","1:45 AM
","Caller requesting to speak with Watch Commander to file complaint
","Service Provided
"
"Security Alarm
","Otterson Hall
","3/7/2024
","2403070009
","3/7/2024
","1:52 AM
",,"False Alarm
"
"Attempt to Contact
","Parking Lot P406
","3/7/2024
","2403070010
","3/7/2024
","2:29 AM
","Residence's vehicle idling in parking lot
","Checks Ok
"
"Citizen Assist
","Costa Verde Boulevard
","3/7/2024
","2403070016
","3/7/2024
","5:22 AM
","Elderly female called 911 and sounds confused, sounds like patient in hospital or nursing home
","Referred to Other Agency ‐ San Diego Fire Department
"
"Security Alarm
","Wells Fargo Hall
","3/7/2024
","2403070021
","3/7/2024
","6:53 AM
",,"False Alarm
"
"Ticket Sign Off
","UCSD Police Department
","3/7/2024
","2403070023
","3/7/2024
","7:34 AM
","Reporting party outside station, requesting ticket sign off
","Gone on Arrival
"
"Suspicious Circumstances
","School of Medicine Building
","3/7/2024
","2024‐0501
","3/7/2024
","8:49 AM
","Staff member reported finding multiple window screens tampered with over the last few weeks
","Report Taken
"
"Collision Counter Report
","SeaWorld Drive
","3/7/2024
","2024‐0502
","3/6/2024
","6:22PM‐6:23PM
","UC owned vehicle rear ended another vehicle that was stopped in heavy traffic
","Report Taken
"
"Medical Aid
","Price Center West ‐ Target
","3/7/2024
","2403070034
","3/7/2024
","11:39
","Young adult male experiencing chest pains
","Referred to Other Department ‐ San Diego Fire Department
"
"Citizen Contact
","UCSD Police Department
","3/7/2024
","2403070040
","3/7/2024
","1:25 PM
","Property pick‐up
","Service Provided
"
"Ticket Sign Off
","UCSD Police Department
","3/7/2024
","2403070042
","3/7/2024
","1:58 PM
",,"Service Provided
"
"Welfare Check
","Voigt Dip
","3/7/2024
","2403070046
","3/7/2024
","3:08 PM
","Per passerby; unhoused subject lying in roadway
","Unable to Locate
"
"Disturbance
","Ridge Walk Academic Building
","3/7/2024
","2403070047
","3/7/2024
","3:44 PM
","Large group of anti Israel Students wanting to come into Israel discussion by professor
","Gone on Arrival
"
"Assist Other Agency
","Interstate 5/Genesee Avenue
","3/7/2024
","2403070050
","3/7/2024
","4:11 PM
","Pursuit at Science Center Drive
","Service Provided
"
"Security Alarm
","Tdlln‐Podemos
","3/7/2024
","2403070051
","3/7/2024
","4:17 PM
",,"False Alarm
"
"Suspicious Person
","Neighborhood ‐ Roosevelt
","3/7/2024
","2403070052
","3/7/2024
","4:19 PM
","Via 911; Report of an unknown adult male pushing a stroller and kept looking back
","Information Only
"
"Incomplete/Accidental Wireless 911 Call
","Mosaic
","3/7/2024
","2403070053
","3/7/2024
","4:21 PM
",,"Logged Event
"
"Incomplete/Accidental Landline 911 Call
","Voigt Drive
","3/7/2024
","2403070055
","3/7/2024
","4:53 PM
",,"Logged Event
"
"Citizen Assist
","Frankfurter Hall
","3/7/2024
","2403070057
","3/7/2024
","4:59 PM
","Reporting party cut herself while preparing food, declined ambulance
","Service Provided
"
"Injury
","Muir Field
","3/7/2024
","2403070063
","3/7/2024
","6:52 PM
","Young adult male with knee injury from playing soccer
","Referred to Other Agency ‐ San Diego Fire Department
"
"Fire Alarm
","Argo Hall
","3/7/2024
","2403070064
","3/7/2024
","6:53 PM
","Burnt food in common area
","Referred to Other Department ‐ Housing Maintenance
"
"Security Alarm
","Biomedical Sciences Building
","3/7/2024
","2403070066
","3/7/2024
","7:16 PM
",,"Checks Ok
"
"Vandalism
","Campus Emergency Services Building
","3/7/2024
","2024‐0505
","3/7/2024
","11:54AM
","Unknown suspect hit victim's vehicle with a metal ladder while walking by, cost of damage
","Report Taken
"
"Security Alarm
","Leichtag Family Foundation
","3/7/2024
","2403070071
","3/7/2024
","8:38 PM
",,"False Alarm
"
"Incomplete/Accidental Wireless 911 Call
","UC San Diego
","3/7/2024
","2403070075
","3/7/2024
","9:24 PM
",,"Logged Event
"
"Petty Theft ‐ Micro Mobility Device
","Geisel Library
","3/7/2024
","2024‐0506
","3/7/2024
","4:45 PM ‐ 9:30 PM
","Secured electric scooter stolen, loss $574.00
","Report Taken
"
"Welfare Check
","The Bistro at the Strand
","3/7/2024
","2403070081
","3/7/2024
","10:29 PM
","Per reporting party, they met a male on bus who seems unable to care for self
","Will Cooperate
"
"Medical Aid
","Rita Atkinson Residences
","3/7/2024
","2403070087
","3/7/2024
","11:31 PM
","Roommate hyperventilating
","Cancelled
"
"Welfare Check
","Tdlln‐Sankofa
","3/7/2024
","2403070088
","3/7/2024
","23:37
","Loud music for the past 2 to 3 hours
","Referred to Student Conduct
"
"Medical Aid
","Tdlln‐Sankofa
","3/7/2024
","2403070089
","3/7/2024
","11:43 PM
","Male at location advised he vomited and is feeling lightheaded
","Referred to Other Agency ‐ San Diego Fire Department
"
"Attempted Assault/ Vandalism
","UCSD Medical Center ‐ Hillcrest
","3/7/2024
","HC24‐03‐06‐0225
","3/6/2024
","11:33 AM
","Discharged patient refused to leave hospital premises and threw several trash can lids towards
","Referred to Other Agency ‐ San Diego Fire Department
"
"Information
","Campus Point Drive
","2/18/2024
","2402180003
","2/18/2024
","12:26 AM
","Audible alarm & Strobes
","Referred to Other UCSD Department ‐ Thornton Maintenance
"
"Welfare Check
","Cuzco House
","2/18/2024
","2402180023
","2/18/2024
","4:10 AM
","Roommate friend is restroom passed out
","Referred to Student Conduct
"
"Missing Person
","One Miramar Street, Building 4
","2/18/2024
","2024‐0368
","02/17/2024‐2/18/2024
","11:13PM‐04:15AM
","Reporting party unable to locate spouse after having drinks in downtown San Diego
","Report Taken
"
"Petty Theft
","Unknown
","2/18/2024
","2402180028
","2/17/2024
","4:00 AM
",,"Unfounded
"
"Mental Health Detention
","Parking Lot P508
","2/18/2024
","2024‐0369
","2/18/2024
","12:54PM‐3:33PM
","Non‐affiliate female with active stay away order observed standing in middle of drive way,
","Transported to Hospital
"
"Citizen Contact
","UCSD Police Department
","2/18/2024
","2402180037
","2/18/2024
","1:24 PM
","Reporting party requesting to file complaint
","Information Only
"
"Battery: Simple Assault
","Geisel Library
","2/18/2024
","2402180038
","2/18/2024
","2:04 PM
","Per Community Service Official, an unknown male came up behind female and struck her on
","Information Only
"
"Incomplete/Accidental Landline 911 Call
","Porton
","2/18/2024
","2402180040
","2/18/2024
","2:23 PM
","Misdial
","Logged Event
"
"Citizen Contact
","UCSD Police Department
","2/18/2024
","2402180049
","2/18/2024
","5:09 PM
","Property pick‐up
","Service Provided
"
"Fire ‐ Non Criminal
","Discovery Way
","2/18/2024
","2024‐0371
","2/18/2024
","9:02PM‐9:20PM
","Unknown subject set up fire pit on patio and smoke was entering reporting party's apartment
","Report Taken
"
"Illegal Parking
","Parking Lot P353
","2/18/2024
","2402180055
","2/18/2024
","9:34 PM
",,"Unable to Locate
"
"Suspicious Person
","Halicioglu Data Science Institute
","2/18/2024
","2402180056
","2/18/2024
","9:40 PM
","Unknown male trying to convince reporting party to let him in
","Field Interview
"
"Security Alarm
","Joan & Irwin Jacobs La Jolla Playhouse
","2/18/2024
","2402180059
","2/18/2024
","10:09 PM
",,"False Alarm
"
"Illegal Parking
","Parking Lot P310
","2/18/2024
","2402180060
","2/18/2024
","10:27 PM
",,"Service Provided
"
"Noise Disturbance
","Brooke Court
","2/18/2024
","2402180065
","2/18/2024
","11:44 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Welfare Check
","Trolley ‐ Central Campus Point Drive
","3/29/2024
","2403290005
","3/29/2024
","12:43 AM
",,"Field Interview
"
"Noise Disturbance
","Equality Lane
","3/29/2024
","2403290011
","3/29/2024
","2:02 AM
","Stomping and yelling
","Referred to Student Conduct
"
"Noise Disturbance
","Equality Lane
","3/29/2024
","2403290012
","3/29/2024
","2:06 AM
","Dog barking
","Checks OK
"
"Injury
","Fortuna Del Norte
","3/29/2024
","2403290013
","3/29/2024
","2:16 AM
","Subject fell on sidewalk
","Referred to Other Agency ‐ San Diego Fire Department
"
"Incomplete/ Accidental Wireless 911 Call
","Scholars Drive N
","3/29/2024
","2403290015
","3/29/2024
","2:25 AM
",,"Logged Event
"
"Suspicious Circumstances
","Ola Parking
","3/29/2024
","2024‐0641
","3/29/2024
","3:36 AM
","Subject going through donation bin
","Report Taken
"
"Welfare Check
","Mesa Footbridge
","3/29/2024
","2403290019
","3/29/2024
","3:47 AM
","Subject ran across bridge shirtless and shoeless
","Unable to Locate
"
"Incomplete/ Accidental Wireless 911 Call
","Campus Point Ct
","3/29/2024
","2403290021
","3/29/2024
","6:30 AM
",,"Logged Event
"
"Incomplete/ Accidental Wireless 911 Call
","North Torrey Pines Rd
","3/29/2024
","2403290024
","3/29/2024
","7:17 AM
",,"Logged Event
"
"Petty Theft
","Trolley ‐ Central Campus Station
","3/29/2024
","2024‐0642
","3/29/2024
","2:30 AM
","Secured bicycle stolen, loss $700.00
","Report Taken
"
"Found Property
","Point Loma Library
","3/29/2024
","2403290029
","3/29/2024
","8:52 AM
","Found keys
","Service Provided
"
"Burglary
","Altadena Ave
","3/29/2024
","2403290031
","3/29/2024
","10:11 AM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Medical Aid
","Genesee Ave
","3/29/2024
","2403290032
","3/29/2024
","10:24 AM
","Excessive bleeding due to treatment
","Referred to Other Agency ‐ San Diego Fire Department
"
"Citizen Contact
","UCSD Police Department
","3/29/2024
","2403290034
","3/29/2024
","10:43 AM
","Subject lost and asking for directions
","Service Province
"
"Disturbance ‐ Psych Subject
","Moores Cancer Center
","3/29/2024
","2403290035
","3/29/2024
","10:51 AM
","Patient with suicidal ideations
","Referred to Other Agency ‐ San Diego Fire Department
"
"Hit and Run ‐ No Injury Collision
","La Jolla Village Drive/ Villa la Jolla Drive
","3/29/2024
","2403290038
","3/29/2024
","11:31 AM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Citizen Flagdown
","Voigt Drive/ Greenhouse Ln
","3/29/2024
","2403290040
","3/29/2024
","11:47 AM
","Directions to Scripps
","Service Provided
"
"Fire Alarm
","Robinson Building
","3/29/2024
","2403290044
","3/29/2024
","12:25 PM
",,"False Alarm
"
"Fire Alarm
","Discovery Way
","3/29/2024
","2403290049
","3/29/2024
","12:39 PM
",,"False Alarm
"
"Citizen Contact
","UCSD Police Department
","3/29/2024
","2403290050
","3/29/2024
","12:44 PM
","Property pick up
","Service Provided
"
"Medical Aid
","Moores Cancer Center
","3/29/2024
","2403290062
","3/29/2024
","2:38 PM
","Patient feeling dizzy and has fast heart rate
","Referred to Other Agency ‐ San Diego Fire Department
"
"Medical Aid
","Moores Cancer Center
","3/29/2024
","2403290063
","3/29/2024
","2:46 PM
","Medical transport
","Referred to Other Agency ‐ San Diego Fire Department
"
"Fire Alarm
","Seventh College East
","3/29/2024
","2403290064
","3/29/2024
","2:46 PM
",,"False Alarm
"
"Medical Aid
","Moores Cancer Center
","3/29/2024
","2403290075
","3/29/2024
","5:56 PM
","Medical transport
","Referred to Other Agency ‐ San Diego Fire Department
"
"Welfare Check
","Pacific Street
","3/29/2024
","2403290079
","3/29/2024
","7:03 PM
","Female swimming against rocks
","Referred to Other Agency ‐ Oceanside Police Department
"
"Incomplete/ Accidental Wireless 911 Call
","North Torrey Pines Rd
","3/29/2024
","2403290083
","3/29/2024
","7:22 PM
",,"Logged Event
"
"Incomplete/ Accidental Wireless 911 Call
","Surfside Lane
","3/29/2024
","2403290084
","3/29/2024
","7:24 PM
",,"Logged Event
"
"Citizen Flagdown
","Genesee Ave/ Regents Rd
","3/29/2024
","2403290089
","3/29/2024
","8:04 PM
","Subject asking for a ride to trolley
","Field Interview
"
"Incomplete/ Accidental Landline 911 Call
","UC San Diego
","3/29/2024
","24032900103
","3/29/2024
","8:10 PM
",,"Logged Event
"
"Illegal Parking
","North Torrey Pines Rd/ Hopkins Drive
","3/29/2024
","2403290111
","3/29/2024
","11:40 PM
","Subject sleeping inside vehicle
","Will Cooperate
"
"Quiet Hours Contact
","Kaleidoscope
","3/11/2024
","2403110003
","3/11/2024
","12:33 AM
",,"Will Cooperate
"
"Quiet Hours Contact
","Kaleidoscope
","3/11/2024
","2403110005
","3/11/2024
","1:14 AM
","Four subjects on basketball courts
","Will Cooperate
"
"Gas/ Water/ Sewer Leak
","Charles David Keeling Apartments
","3/11/2024
","2403110010
","3/11/2024
","3:41 AM
","Irrigation line broken and spraying everywhere
","Referred to Other UCSD Department ‐ Central Plant
"
"Disturbance
","Trolley ‐ Executive Drive Station
","3/11/2024
","2403110013
","3/11/2024
","4:48 AM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Incomplete/ Accidental Wireless 911 Call
","Campus Point Parking West
","3/11/2024
","2403110019
","3/11/2024
","6:47 AM
",,"Logged Event
"
"Found Property
","Mosaic
","3/11/2024
","2403110023
","3/11/2024
","7:56 AM
","Keys left on vehicle's trunk
","Information Only
"
"Citizen Contact
","Radiology/ Thornton Pavilion
","3/11/2024
","2403110024
","3/11/2024
","8:00 AM
","Request for directions
","Service Provided
"
"Incomplete/ Accidental Landline 911 Call
","Kaleidoscope
","3/11/2024
","2403110028
","3/11/2024
","8:56 AM
",,"Logged Event
"
"Medical Aid
","Genesee Avenue
","3/11/2024
","2403110031
","3/11/2024
","9:47 AM
","Medical transport
","Referred to Other Agency ‐ San Diego Fire Department
"
"Non Injury Collision
","Bonner Hall
","3/11/2024
","2024‐0524
","3/11/2024
","10:00 AM
",,"Report Taken
"
"Found Property
","Taco Villa
","3/11/2024
","2403110040
","3/11/2024
","11:53 AM
","Found luggage
","Referred to Other UCSD Department ‐ Campus Curbside
"
"Medical Aid
","Garden View Court
","3/11/2024
","2403110044
","3/11/2024
","12:18 PM
","Medical transport
","Referred to Other Agency ‐ San Diego Fire Department
"
"Welfare Check
","Cala
","3/11/2024
","2403110047
","3/11/2024
","12:22 PM
","Adult male, possible psych subject or under influence of drug, not making sense when talking
","Referred to Other Agency ‐ San Diego Fire Department
"
"Medical Aid
","Executive Drive
","3/11/2024
","2403110049
","3/11/2024
","12:43 PM
","Medical Transport
","Referred to Other Agency ‐ San Diego Fire Department
"
"Medical Aid
","Radiation Oncology Pet/Ct Center
","3/11/2024
","2403110051
","3/11/2024
","1:22 PM
","Patient with high heart rate
","Referred t Other Agency ‐ San Diego Fire Department
"
"Shoplifting
","Price Center West ‐ Bookstore
","3/11/2024
","2024‐0525
","3/11/2024
","1:25 PM
","Juvenile male suspect detained by loss prevention for theft of clothing item, loss $66.00
","Referred to Other Authority ‐ San Diego County Juvenile Court
"
"Incomplete/ Accidental Wireless 911 Call
","North Torrey Pines Road
","3/11/2024
","2403110059
","3/11/2024
","2:30 PM
",,"Logged Event
"
"Battery ‐ Simple Assault
","Price Center East
","3/11/2024
","2024‐0526
","3/11/2024
","2:40 PM
","Reporting party alleged he was battered by a non‐affiliate adult male
","Report Taken
"
"Voluntary Psych Referral
","Villa La Jolla Drive
","3/11/2024
","2024‐0527
","3/11/2024
","4:12 PM
","Per Clinician at Outpatient Psychology Clinic, female patient in manic state
","Transported to Hospital
"
"Citizen Contact
","Koman Family Outpatient Pavilion
","3/11/2024
","2403110067
","3/11/2024
","5:37 PM
","Reporting party at front counter, advising he does not feel safe after encountering an old co‐
","Service Provided
"
"Illegal Camping
","Torrey Pines Center South
","3/11/2024
","2403110068
","3/11/2024
","5:42 PM
","Second hand report of male seen camping inside restroom
","Unable to Locate
"
"Petty Theft ‐ Micro Mobility Device
","Franklin Antonio Hall
","3/11/2024
","2024‐0528
","3/11/2024
","12:00 PM ‐ 6:20 PM
","Secured electric scooter stolen, loss $300.00
","Report Taken
"
"Petty Theft
","Veterans Affairs Medical Center
","3/11/2024
","2403110071
","3/11/2024
","6:33 PM
",,"Referred to Other Agency ‐ Veterans Affairs Police Department
"
"Disturbance ‐ Argument
","La Jolla Farms Road
","3/11/2024
","2403110072
","3/11/2024
","6:39 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Outside Agency Arrest Warrant ‐ Misdemeanor
","UTC Trolley Stop
","3/11/2024
","2024‐0530
","3/11/2024
","7:58 PM
","Non‐affiliate male contacted during enforcement detail and found to have an outstanding arrest
","Closed By Adult Arrest
"
"Suspicious Person
","Meteor Hall
","3/11/2024
","2403110082
","3/11/2024
","8:45 PM
","Possible bike caser between Podemos and Meteor
","Unable to Locate
"
"Illegal Parking
","Parking Lot Exchange, Nuevo East
","3/11/2024
","2403110087
","3/11/2024
","10:26 PM
",,"Citation Issued
"
"Incomplete/ Accidental Landline 911 Call
","Tapestry
","3/11/2024
","2403110088
","3/11/2024
","10:28 PM
",,"Logged Event
"
"Disturbance ‐ Party
","Seventh College East #2
","2/3/2024
","2402030001
","2/3/2024
","12:03 AM
","Loud music and yelling
","Referred to Student Conduct
"
"Alcohol Contact
","Marshall Upper Apartments J
","2/3/2024
","2402030006
","2/3/2024
","12:52 AM
","People singing and partying
","Referred to Student Conduct
"
"Noise Disturbance
","Matthews Apartments E
","2/3/2024
","2402030007
","2/3/2024
","12:54 AM
","Loud party and gathering
","Quiet On Arrival
"
"Quiet Hours Contact
","Sixth Market ‐ Mosaic
","2/3/2024
","2402030008
","2/3/2024
","12:57 AM
",,"Referred to Student Conduct
"
"Medical Aid
","Parking Lot 386
","2/3/2024
","2402030010
","2/3/2024
","1:09 AM
","Male saying he is itching everywhere
","Referred to Other Agency ‐ San Diego Fire Department
"
"Incomplete/ Accidental Landline 911 Call
","Atkinson Hall
","2/3/2024
","2402030019
","2/3/2024
","2:33 AM
",,"Logged Event
"
"Incomplete/ Accidental Landline 911 Call
","Kaleidoscope
","2/3/2024
","2402030021
","2/3/2024
","2:56 AM
",,"Logged Event
"
"Medical Aid
","Stewart Hall
","2/3/2024
","2402030022
","2/3/2024
","3:08 AM
","Report of a sleeping male possibly being over intoxicated
","Checks OK
"
"Information
","Thornton Pavilion
","2/3/2024
","2402030023
","2/3/2024
","4:10 AM
","Reporting party calling for girlfriend in El Cajon, having a medical emergency
","Referred to Other Agency ‐ El Cajon Police Department
"
"Information
","Claiborne Square
","2/3/2024
","2402030028
","2/3/2024
","6:59 AM
","Via 911; Caller advising they coughed up blood, paramedics declined
","Logged Event
"
"Security Alarm
","Isaacs Hall
","2/3/2024
","2402030030
","2/3/2024
","7:20 AM
",,"Fire Alarm
"
"Preserve the Peace
","Birch Aquarium at Scripps
","2/3/2024
","2402030030
","2/3/2024
","7:20 AM
","Staff member advising they have an event between 7:30 AM ‐ 3:00 PM, small group of peaceful
","Service Provided
"
"Incomplete/ Accidental Wireless 911 Call
","Poole Street
","2/3/2024
","2402030039
","2/3/2024
","8:27 AM
",,"Logged Event
"
"Citizen Contact
","UCSD Police Department
","2/3/2024
","2402030040
","2/3/2024
","8:29 AM
","Subject requesting to speak with officer regarding placard
","Service Provided
"
"Grand Theft ‐ Micro Mobility Device
","Rita Atkinson
","2/3/2024
","2402030045
","1/31/2024
","Unknown
","Reporting party believes they may have seen their stolen electric scooter on Offerup, theft not
","Information Only
"
"Injury
","Canyonview Aquatic & Climbing Wall Facility
","2/3/2024
","2024‐0252
","2/3/2024
","11:20 AM
","Report of adult female with knee injury
","Transported to Hospital
"
"Ticket Sign Off
","UCSD Police Department
","2/3/2024
","2402030053
","2/3/2024
","1:33 PM
",,"Service Provided
"
"Hit and Run Collision: Non‐Injury
","Regents Road
","2/3/2024
","2024‐0253
","2/3/2024
","2:53 PM
",,"Report Taken
"
"Security Alarm
","Leichtag Family Foundation
","2/3/2024
","2402030059
","2/3/2024
","4:10 PM
",,"False Alarm
"
"Security Alarm
","Leichtag Family Foundation Biomedical Research
","2/3/2024
","2402030060
","2/3/2024
","5:01 PM
",,"Logged Event
"
"Disturbance
","Lebon Drive
","2/3/2024
","2402030066
","2/3/2024
","6:22 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Citizen Contact
","UCSD Police Department
","2/4/2024
","2402030073
","2/4/2024
","7:59 PM
","Property pick‐up
","Service Provided
"
"Campus Security Authority Report
","9450 Muir Lane
","2/4/2024
","2024‐0254
","2/3/2024
","8:25 PM ‐ 8:30 PM
","Unknown male on scooter stopped in front of complainant and made a racial slur, then road
","Information Only
"
"Medical Aid
","Seventh College West #3
","2/4/2024
","2402030082
","2/4/2024
","9:25 PM
","Young adult female experiencing abdominal pain
","Referred to Other Agency ‐ San Diego Fire Department
"
"Citizen Contact
","Trolley ‐ Central Campus Station
","2/4/2024
","2402030084
","2/4/2024
","9:35 PM
","Students brought shopping cart onto campus
","Verbal Warning Issued
"
"Quiet Hours Contact
","Scholars Drive North/ Scholars Drive South
","2/3/2024
","2402030087
","2/3/2024
","10:27 PM
","Large group at basketball courts
","Will Cooperate
"
"Hazard Situation
","Sixth Market ‐ Mosaic
","2/3/2024
","2402030090
","2/3/2024
","10:39 PM
","Glass on sidewalk
","Referred to Other UCSD Department ‐ Central Plant
"
"Noise Disturbance
","Cresta
","2/3/2024
","2402030091
","2/3/2024
","10:40 PM
","Neighbors dog barking for over an hour
","Unable to Locate
"
"Quiet Hours Contact
","Tapestry
","2/3/2024
","2402030096
","2/3/2024
","10:53 PM
",,"Checks OK
"
"‐
","Disturbance - Party
","3/24/2024
","2403240001
","3/24/2024
","12:59 AM
",,"Referred to Student Conduct
"
"Citizen Assist
","Mobil Gas Station
","3/24/2024
","2403240002
","3/24/2024
","1:09 AM
","Citizen requesting assistance with towing of vehicle
","Service Provided
"
"Suspicious Vehicle
","Scholars Drive North
","3/24/2024
","2403240007
","3/24/2024
","2:42 AM
",,"Checks OK
"
"Security Alarm
","Student Services Center
","3/24/2024
","2403240008
","3/24/2024
","3:32 AM
",,"False Alarm
"
"Security Alarm
","Geisel Library
","3/24/2024
","2403240014
","3/24/2024
","9:53 AM
",,"False Alarm
"
"Welfare Check
","Expedition Way/ North Torrey Pines Road
","3/24/2024
","2403240015
","3/24/2024
","10:14 AM
","Non-Affiliate lying on sidewalk
","Field Interview
"
"Robbery/ Burglary
","Marshall Upper Apartments G
","3/24/2024
","2024-0623
","3/24/2024
","1:10PM-12:00AM
","Suspect known to victim broke into victim's dorm, battered her and took property from her
","Closed By Adult Arrest
"
"Hit and Run Collision: Non Injury
","Theatre District Parking Structure
","3/24/2024
","2024-0624
","3/24/2024
","2:01 PM
",,"Report Taken
"
"Hazard Situation
","Middle East Hall
","3/24/2024
","2403240025
","3/24/2024
","2:31 PM
","Reporting party requesting officer to check unit, oven possibly left on and all residents left for
","Referred to Other UCSD Department - Housing
"
"Security Alarm
","Preuss School
","3/24/2024
","2403240026
","3/24/2024
","2:58 PM
",,"False Alarm
"
"Citizen Assist
","Gilman Parking
","3/24/2024
","2403240036
","3/24/2024
","17:23
","Via 911; citizen advising vehicle is inoperative, waiting for tow, wanting to know if vehicle can be
","Referred to Other UCSD Department - Parking
"
"Incomplete/Accidental Landline 911 Call
","South Parking Structure
","3/24/2024
","2403240042
","3/24/2024
","8:24 PM
",,"Logged Event
"
"Fire Alarm
","Argo Hall
","3/24/2024
","2403240043
","3/24/2024
","8:48 PM
",,"False Alarm
"
"Fondling
","UCSD Medical Center - East Campus
","3/24/2024
","EC24-03-23-0056
","3/23/2024
","11:15 AM
","Patient grabbed breast of nurse
","Hospital Incident Report Taken
"
"Fire
","Jacobs Medical Center
","3/24/2024
","LJ24-03-23-0204
","3/23/2024
","12:50 PM
","Non-criminal fire caused by lithium battery/charging station malfunction, no injuries
","Referred to Other Agency - San Diego Fire Department
"
"Security Alarm
","Jacobs Hall
","2/15/2024
","2402150006
","2/15/2024
","6:18 AM
",,"Cancelled
"
"Incomplete/ Accidental Wireless 911 Call
","Kaleidoscope
","2/15/2024
","2402150012
","2/15/2024
","8:31 AM
",,"Logged Event
"
"Traffic Hazard
","One Miramar Street
","2/15/2024
","2402150013
","2/15/2024
","8:38 AM
","Large RV partially blocking road
","Service Provided
"
"Traffic Hazard
","Interstate 5 / La Jolla Village Drive
","2/15/2024
","2402150014
","2/15/2024
","8:48 AM
","Large landscaping bag in lanes of traffic
","Referred to Other Agency ‐ California Highway Patrol
"
"Traffic Hazard
","Interstate 5 / La Jolla Village Drive
","2/15/2024
","2402150018
","2/15/2024
","9:39 AM
","Items in roadway
","Referred to Other Agency ‐ California Highway Patrol
"
"Welfare Check
","UCSD Residential Area
","2/15/2024
","2402150019
","2/15/2024
","9:49 AM
","Student with suicidal ideations
","Referred to Other UCSD Department ‐ Triton CORE
"
"Incomplete/ Accidental Landline 911 Call
","Gilman Drive
","2/15/2024
","2402150023
","2/15/2024
","10:03 AM
",,"Logged Event
"
"Campus Security Authority Report
","UCSD Medical Center ‐ Hillcrest
","2/15/2024
","2024‐0340
","Unknown
","Unknown
","Third party report regarding a faculty physician who had grabbed the behind of a staff member,
","Information Only
"
"Vandalism
","Discovery Way
","2/15/2024
","T24000053
","2/14/2024 ‐ 2/15/2024
","11:30 PM ‐ 7:30 AM
","Unknown suspect(s) broke into vehicle and vandalized the interior, damage $30,000.00
","Online Report
"
"Incomplete/ Accidental Wireless 911 Call
","Mesa Apartments Central
","2/15/2024
","2402150029
","2/15/2024
","11:54 AM
",,"Logged Event
"
"Incomplete/ Accidental Landline 911 Call
","UC San Diego
","2/15/2024
","2402150037
","2/15/2024
","1:50 PM
",,"Logged Event
"
"Drug Law Arrest
","3291 Matthews Lane
","2/15/2024
","2024‐0341
","2/15/2024
","1:54 PM
","Male suspect stopped for riding bicycle in an unsafe manner
","Closed by Adult Citation
"
"Incomplete/ Accidental Landline 911 Call
","TDLLN ‐ Sankofa
","2/15/2024
","2402150040
","2/15/2024
","2:19 PM
",,"Logged Event
"
"Medical Aid
","Radiation Oncology Pet/Ct Center
","2/15/2024
","2402150041
","2/15/2024
","2:20 PM
","Ambulance transport
","Referred to Other Agency ‐ San Diego Fire Department
"
"Illegal Camping
","Gilman Drive/ Interstate 5 Overpass Bridge
","2/15/2024
","2402150045
","2/15/2024
","2:54 PM
","Tent seen from bridge
","Gone On Arrival
"
"Mental Health Detention/ Attempted Suicide
","8950 Villa La Jolla Drive
","2/15/2024
","2024‐0342
","2/15/2024
","3:11 PM
","Patient disclosed during therapy session, they had ingested an unknown amount of pills
","Transported to Hospital
"
"Incomplete/ Accidental Wireless 911 Call
","9500 Gilman Drive
","2/15/2024
","2402150047
","2/15/2024
","3:24 PM
",,"Logged Event
"
"Incomplete/ Accidental Wireless 911 Call
","Lyman Lane
","2/15/2024
","2402150050
","2/15/2024
","4:11 PM
",,"Logged Event
"
"Unknown Injury Collision
","La Jolla Village Drive/ Villa la Jolla Drive
","2/15/2024
","2402150052
","2/15/2024
","4:26 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Security Alarm
","Gilman Parking Structure
","2/15/2024
","2402150053
","2/15/2024
","4:34 PM
",,"False Alarm
"
"Incomplete/ Accidental Landline 911 Call
","Neighborhood ‐ Triton Center
","2/15/2024
","2402150055
","2/15/2024
","5:01 PM
",,"Logged Event
"
"Welfare Check
","TDLLN ‐ Podemos
","2/15/2024
","2402150057
","2/15/2024
","5:24 PM
",,"Referred to Other UCSD Department ‐ Triton CORE
"
"Petty Theft ‐ Micro Mobility Device
","Solis Hall
","2/15/2024
","2024‐0343
","2/15/2024
","08:00 AM ‐ 4:45 PM
","Secured electric scooter stolen, loss $500.00
","Report Taken
"
